Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC05 261-16,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-17,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-18,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-19,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261-20,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC05 261,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.653096437,-90.25454197,155.858276
SC T15,Naesiotus,ochsneri,Naesiotus ochsneri,-0.657951236,-90.25266401,204
SC T15 reibischii,Naesiotus,reibischii,Naesiotus reibischii,-0.657951236,-90.25266401,204
SC 14 07,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.65834,-90.251601,
SC 01 08,Naesiotus,n.sp.SC-1,Naesiotus n.sp.SC-1,-0.67027778,-90.25111111,
SC 03 31,Naesiotus,akamatus,Naesiotus akamatus,-0.6473,-90.25055,
SC 03 31,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6473,-90.25055,
SC 03 33,Naesiotus,akamatus,Naesiotus akamatus,-0.6456167,-90.2496667,
SC 03 33,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6456167,-90.2496667,
SC 03 34,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.6452333,-90.24925,
SC 2000-2,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6704,-90.24893,180
SC 2000-2,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6704,-90.24893,180
SC 2000-2,Naesiotus,reibischii,Naesiotus reibischii,-0.6704,-90.24893,180
SC02 T12 1,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 2,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 3,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 4,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 5,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 6,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 7,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 8,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 9,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 10,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 11,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 12,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 13,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 14,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 15,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 16,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 17,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 18,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 19,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC02 T12 20,Naesiotus,reibischii,Naesiotus reibischii,-0.6716667,-90.2487,29
SC-T12,Naesiotus,reibischii,Naesiotus reibischii,-0.671882629,-90.24839904,215
SC 03 35,Naesiotus,akamatus,Naesiotus akamatus,-0.6567,-90.2463333,
SC 03 35,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6567,-90.2463333,
SC 03 35,Naesiotus,reibischii,Naesiotus reibischii,-0.6567,-90.2463333,
SC 14 06,Naesiotus,akamatus,Naesiotus akamatus,-0.656609042,-90.24629384,191.9074707
SC 14 06,Naesiotus,hirsutus,Naesiotus hirsutus,-0.656609042,-90.24629384,191.9074707
SC 14 06,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.656609042,-90.24629384,191.9074707
SC05 121-1,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-2,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-3,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-4,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-5,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-6,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-7,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-8,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-9,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-10,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-11,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-12,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-13,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-14,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-15,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-16,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-17,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-18,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-19,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121-20,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC05 121,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.658667218,-90.2460615,185.1782227
SC 03 36,Naesiotus,akamatus,Naesiotus akamatus,-0.655875122,-90.24583602,
SC 03 36,Naesiotus,hirsutus,Naesiotus hirsutus,-0.655875122,-90.24583602,
SC 03 38,Naesiotus,hirsutus,Naesiotus hirsutus,-0.653987937,-90.24545196,
SC 03 37,Naesiotus,hirsutus,Naesiotus hirsutus,-0.654948838,-90.24535901,
SC 14 01,Naesiotus,akamatus,Naesiotus akamatus,-0.654998291,-90.2453456,176.2861328
SC1T3,Naesiotus,akamatus,Naesiotus akamatus,-0.653441269,-90.24526798,170.5181885
SC1T5,Naesiotus,reibischii,Naesiotus reibischii,-0.655233823,-90.24514904,166.1923828
SC14 MR01,Naesiotus,akamatus,Naesiotus akamatus,-0.6554667,-90.24513,172
SC15-G-01-1-10,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-11,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-12,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-13,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-14,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-15,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-16,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-17,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-18,Naesiotus,akamatus,Naesiotus akamatus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-3-1,Naesiotus,hirsutus,Naesiotus hirsutus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-3-2,Naesiotus,hirsutus,Naesiotus hirsutus,-0.651557771,-90.24494377,171.7198486
SC1T1,Naesiotus,hirsutus,Naesiotus hirsutus,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-1,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-2,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-3,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-4,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-5,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-6,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-1-7,Naesiotus,kublerensis,Naesiotus kublerensis,-0.651557771,-90.24494377,171.7198486
SC15-G-01-2-1,Naesiotus,reibischii,Naesiotus reibischii,-0.651557771,-90.24494377,171.7198486
SC15-G-01-2-2,Naesiotus,reibischii,Naesiotus reibischii,-0.651557771,-90.24494377,171.7198486
SC15-G-01-2-3,Naesiotus,reibischii,Naesiotus reibischii,-0.651557771,-90.24494377,171.7198486
SC15-G-01-2-4,Naesiotus,reibischii,Naesiotus reibischii,-0.651557771,-90.24494377,171.7198486
SC15-G-01-2-5,Naesiotus,reibischii,Naesiotus reibischii,-0.651557771,-90.24494377,171.7198486
SC 03 41,Naesiotus,akamatus,Naesiotus akamatus,-0.655813012,-90.244724,
SC 03 40,Naesiotus,akamatus,Naesiotus akamatus,-0.65271724,-90.24442904,
SC 03 40,Naesiotus,hirsutus,Naesiotus hirsutus,-0.65271724,-90.24442904,
SC 03 40,Naesiotus,reibischii,Naesiotus reibischii,-0.65271724,-90.24442904,
SC 03 13,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6603333,-90.2440833,
SC 03 42,Naesiotus,akamatus,Naesiotus akamatus,-0.656514913,-90.24396401,
SC 03 43,Naesiotus,akamatus,Naesiotus akamatus,-0.657420326,-90.24343603,
SC 03 43,Naesiotus,hirsutus,Naesiotus hirsutus,-0.657420326,-90.24343603,
SC05 441 1,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 2,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 3,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 4,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 5,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 6,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 7,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 8,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 9,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 10,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 11,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 12,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 13,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 14,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 15,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 16,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 17,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 18,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 19,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 20,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 21,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 22,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC05 441 23,Naesiotus,reibischii,Naesiotus reibischii,-0.658332696,-90.24328499,
SC 01 07,Naesiotus,adelphus,Naesiotus adelphus,-0.67333333,-90.24277778,157
SC 01 07,Naesiotus,kublerensis,Naesiotus kublerensis,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC 03 14,Naesiotus,akamatus,Naesiotus akamatus,-0.6593333,-90.2426833,
SC 03 14,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6593333,-90.2426833,
SC 03 14,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6593333,-90.2426833,
SC 03 62,Naesiotus,wolfi,Naesiotus wolfi,-0.672054626,-90.24262802,
SC 03 52,Naesiotus,hirsutus,Naesiotus hirsutus,-0.660165818,-90.24231797,
SC03 52 01,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 02,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 03,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 04,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 05,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 06,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 07,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 04,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC03 52 06,Naesiotus,akamatus,Naesiotus akamatus,-0.660165818,-90.24231797,
SC02 T10 1,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 2,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 3,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 4,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 5,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 6,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 7,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 8,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 9,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 10,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 11,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 12,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 13,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC02 T10 14,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6732,-90.242,16
SC 03 53,Naesiotus,hirsutus,Naesiotus hirsutus,-0.660981461,-90.24198202,
SC 03 53 01,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 02,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 03,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 04,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 05,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 06,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 07,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC 03 53 08,Naesiotus,akamatus,Naesiotus akamatus,-0.660981461,-90.24198202,
SC-T10,Naesiotus,adelphus,Naesiotus adelphus,-0.673148632,-90.241935,157
SC-T10,Naesiotus,hirsutus,Naesiotus hirsutus,-0.673148632,-90.241935,157
SC 03 59,Naesiotus,adelphus,Naesiotus adelphus,-0.668009939,-90.24137903,
SC 03 59,Naesiotus,hirsutus,Naesiotus hirsutus,-0.668009939,-90.24137903,
SC 03 54,Naesiotus,akamatus,Naesiotus akamatus,-0.661710603,-90.24137702,
SC 03 56,Naesiotus,akamatus,Naesiotus akamatus,-0.663424116,-90.24132103,
SC 03 57,Naesiotus,adelphus,Naesiotus adelphus,-0.66489229,-90.24110503,
SC03 S12 583,Naesiotus,wolfi,Naesiotus wolfi,-0.66643456,-90.24095901,
SC 01 06,Naesiotus,kublerensis,Naesiotus kublerensis,-0.67225,-90.24033,167
SC 01 06,Naesiotus,n.sp.SC-1,Naesiotus n.sp.SC-1,-0.67225,-90.24033,167
SC 01 06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC 03 16,Naesiotus,hirsutus,Naesiotus hirsutus,-0.6591,-90.2398333,
SC 03 16,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6591,-90.2398333,
SC-T09,Naesiotus,adelphus,Naesiotus adelphus,-0.67320236,-90.23878098,163
SC-T09 reibischii,Naesiotus,reibischii,Naesiotus reibischii,-0.67320236,-90.23878098,163
SC 03 17,Naesiotus,reibischii,Naesiotus reibischii,-0.6597333,-90.2384167,
SC 01 x 05,Naesiotus,n.sp.SC-3,Naesiotus n.sp.SC-3,-0.675,-90.2375,102.7
SC 01 x 05,Naesiotus,wolfi,Naesiotus wolfi,-0.675,-90.2375,102.7
SC-T08,Naesiotus,adelphus,Naesiotus adelphus,-0.675535882,-90.23698398,134
SC-T08,Naesiotus,reibischii,Naesiotus reibischii,-0.675535882,-90.23698398,134
SC 03 18,Naesiotus,reibischii,Naesiotus reibischii,-0.6595833,-90.2369667,
SC05 181-1,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-2,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-3,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-4,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-5,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-6,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-7,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-8,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-9,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-10,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-11,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-12,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-13,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-14,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-15,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-16,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-17,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-18,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-19,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181-20,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC05 181,Naesiotus,reibischii,Naesiotus reibischii,-0.659576738,-90.23696202,134.112
SC02 T08,Naesiotus,kublerensis,Naesiotus kublerensis,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,kublerensis,Naesiotus kublerensis,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,n.sp. Yannickus,Naesiotus n.sp. Yannickus,-0.6755667,-90.23695,18
SC02 T08 1,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 2,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 3,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 4,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 5,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 6,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 7,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 8,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 9,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 10,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 11,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 12,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 13,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 14,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 15,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 16,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 17,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 18,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 19,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 20,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 21,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 22,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 23,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 24,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 25,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 26,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08 27,Naesiotus,n.sp.SC-2,Naesiotus n.sp.SC-2,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,reibischii,Naesiotus reibischii,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,reibischii,Naesiotus reibischii,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,reibischii,Naesiotus reibischii,-0.6755667,-90.23695,18
SC02 T08,Naesiotus,wolfi,Naesiotus wolfi,-0.6755667,-90.23695,18
SC03 19,Naesiotus,akamatus,Naesiotus akamatus,-0.658959495,-90.23568604,
SC 03 63,Naesiotus,hirsutus,Naesiotus hirsutus,-0.65868197,-90.23466798,
SC 03 63,Naesiotus,reibischii,Naesiotus reibischii,-0.65868197,-90.23466798,
SC01-04-2,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-3,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-4,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-6,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-7,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-9,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-10,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC01-04-11,Naesiotus,akamatus,Naesiotus akamatus,-0.6763167,-90.23457,85
SC 01 04,Naesiotus,n.sp.SC-1,Naesiotus n.sp.SC-1,-0.6763167,-90.23457,85
SC 01 04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-01,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-02,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-03,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
