Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation (m)
SC15-07,Naesiotus,eos,Naesiotus eos,-0.6229167,-90.45315,331
SC15-07,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 02 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 3 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 4 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 5 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 6 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 7 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 8 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 9 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 10 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 11 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15 07 01 12 xray,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6229167,-90.45315,331
SC15-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6229167,-90.45315,331
SC15-06,Naesiotus,ochsneri,Naesiotus ochsneri,-0.6235833,-90.4522167,329
SC18-49 N=91,Naesiotus,cf. ochsneri,Naesiotus cf. ochsneri,-0.613948843,-90.45036854,334.9024658
SC18-49 N=91,Naesiotus,hirsutus,Naesiotus hirsutus,-0.613948843,-90.45036854,334.9024658
SC18-49 N=91,Naesiotus,ochsneri,Naesiotus ochsneri,-0.613948843,-90.45036854,334.9024658
SC19-10,Naesiotus,ochsneri,Naesiotus ochsneri,-0.641398989,-90.45033401,298.449432
SC19-10,Naesiotus,saeronius,Naesiotus saeronius,-0.641398989,-90.45033401,298.449432
SC19-03 n=2 Sheels,Naesiotus,hirsutus,Naesiotus hirsutus,-0.692795981,-90.44992698,146.340668
SC19 01 shells N=43,Naesiotus,eos,Naesiotus eos,-0.692673018,-90.44990703,155.566681
SC19 01 shells N=43,Naesiotus,hirsutus,Naesiotus hirsutus,-0.692673018,-90.44990703,155.566681
SC19 01 shells N=43,Naesiotus,saeronius,Naesiotus saeronius,-0.692673018,-90.44990703,155.566681
SC 14 13,Naesiotus,eos,Naesiotus eos,-0.692653907,-90.4498041,152.4936523
SC14 13 2 11,Naesiotus,hirsutus,Naesiotus hirsutus,-0.692653907,-90.4498041,152.4936523
