Species,Latitude,Longitude
Naesiotus ochsneri,-0.618727785,-90.44570058
Naesiotus ochsneri,-0.6187333,-90.4457
Naesiotus ochsneri,-0.6187333,-90.4457
Naesiotus alethorhytidus,-0.669,-90.43233
Naesiotus ochsneri,-0.669,-90.43233
Naesiotus ochsneri,-0.669,-90.43233
Naesiotus alethorhytidus,-0.669,-90.43233
Naesiotus ochsneri,-0.669,-90.43233
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus cavagnaroi,-0.668698,-90.431738
Naesiotus wolfi,-0.7102,-90.4275333
Naesiotus ochsneri,-0.7102,-90.4275333
Naesiotus eos,-0.7102,-90.4275333
Naesiotus ochsneri,-0.727120629,-90.42506911
Naesiotus saeronius,-0.727120629,-90.42506911
Naesiotus cf. ochsneri,-0.727120629,-90.42506911
Naesiotus reibischii,-0.727120629,-90.42506911
Naesiotus cavagnaroi,-0.630811,-90.394693
Naesiotus ochsneri,-0.630811,-90.394693
Naesiotus wolfi,-0.624530995,-90.38421596
Naesiotus cavagnaroi,-0.624530995,-90.38421596
Naesiotus ochsneri,-0.6245333,-90.38417
Naesiotus cavagnaroi,-0.6245333,-90.38417
Naesiotus alethorhytidus,-0.6245333,-90.38417
Naesiotus ochsneri,-0.6245333,-90.38417
Naesiotus alethorhytidus,-0.6245333,-90.38417
Naesiotus cavagnaroi,-0.62444444,-90.38416667
Naesiotus eos,-0.62444444,-90.38416667
Naesiotus ochsneri,-0.743399458,-90.38336369
Naesiotus ochsneri,-0.744514251,-90.38302448
Naesiotus n.sp.SC-2,-0.744514251,-90.38302448
Naesiotus reibischii,-0.744514251,-90.38302448
Naesiotus ochsneri,-0.74564958,-90.38280906
Naesiotus ochsneri,-0.74652683,-90.38149285
Naesiotus wolfi,-0.739356028,-90.38097401
Naesiotus wolfi,-0.739356028,-90.38097401
Naesiotus cf. ochsneri,-0.7391,-90.38095
Naesiotus ochsneri,-0.6221,-90.3808167
Naesiotus cavagnaroi,-0.6221,-90.3808167
Naesiotus lycodus,-0.6221,-90.3808167
Naesiotus wolfi,-0.75068308,-90.37971111
Naesiotus kublerensis,-0.75068308,-90.37971111
Naesiotus cavagnaroi,-0.62055556,-90.37888889
Naesiotus wolfi,-0.62055556,-90.37888889
Naesiotus n.sp.SC-2,-0.7515833,-90.37542
Naesiotus cf. ochsneri,-0.7252,-90.3740833
Naesiotus ochsneri,-0.75507964,-90.37291506
Naesiotus reibischii,-0.75507964,-90.37291506
Naesiotus ochsneri,-0.760764163,-90.37222163
Naesiotus ochsneri,-0.759148216,-90.37204888
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus akamatus,-0.681935465,-90.37193103
Naesiotus wolfi,-0.6819333,-90.37193
Naesiotus n.sp.SC-2,-0.6819333,-90.37193
Naesiotus saeronius,-0.722272033,-90.36957697
Naesiotus ochsneri,-0.722272033,-90.36957697
Naesiotus wolfi,-0.6236667,-90.36787
Naesiotus cavagnaroi,-0.6236667,-90.36787
Naesiotus ochsneri,-0.623683333,-90.36784904
Naesiotus kublerensis,-0.623683333,-90.36784904
Naesiotus wolfi,-0.623683333,-90.36784904
Naesiotus reibischii,-0.623683333,-90.36784904
Naesiotus ochsneri,-0.6169667,-90.36665
Naesiotus wolfi,-0.6169667,-90.36665
Naesiotus cavagnaroi,-0.6169667,-90.36665
Naesiotus cavagnaroi,-0.6169667,-90.36665
Naesiotus cavagnaroi,-0.6169667,-90.36665
Naesiotus cavagnaroi,-0.6169667,-90.36665
Naesiotus cavagnaroi,-0.6231333,-90.3665667
Naesiotus ochsneri,-0.6231333,-90.3665667
Naesiotus lycodus,-0.6231333,-90.3665667
Naesiotus saeronius,-0.720102964,-90.36536498
Naesiotus ochsneri,-0.6157667,-90.36533
Naesiotus lycodus,-0.6157667,-90.36533
Naesiotus ochsneri,-0.71585,-90.3617667
Naesiotus eos,-0.71585,-90.3617667
Naesiotus lycodus,-0.71585,-90.3617667
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus wolfi,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus hirsutus,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
Naesiotus reibischii,-0.5726167,-90.33812
