Collection ID,Genus,Species,GenusSpecies,Latitude,Longitude,Elevation
SC path going to PNG,Naesiotus,wolfi,Naesiotus wolfi,-0.741929,-90.308661,
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC01-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6732333,-90.2427,157
SC 03 62,Naesiotus,wolfi,Naesiotus wolfi,-0.672054626,-90.24262802,
SC03 S12 583,Naesiotus,wolfi,Naesiotus wolfi,-0.66643456,-90.24095901,
SC 01 06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC01-06,Naesiotus,wolfi,Naesiotus wolfi,-0.67225,-90.24033,167
SC 01 x 05,Naesiotus,wolfi,Naesiotus wolfi,-0.675,-90.2375,102.7
SC02 T08,Naesiotus,wolfi,Naesiotus wolfi,-0.6755667,-90.23695,18
SC 01 04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-01,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-02,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-03,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-05,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-06,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-07,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-08,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-09,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-10,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-11,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-12,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-13,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-14,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-15,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 01-04-1-16,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04-1,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04-5,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04-8,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC01-04-12,Naesiotus,wolfi,Naesiotus wolfi,-0.6763167,-90.23457,85
SC 00 8,Naesiotus,wolfi,Naesiotus wolfi,-0.6766167,-90.23422,50
SC15-c-T20-4-3,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-4,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-5,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-6,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-7,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-8,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-9,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-12,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-13,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-14,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-15,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-16,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-17,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
SC15-c-T20-4-18,Naesiotus,wolfi,Naesiotus wolfi,-0.700633144,-90.45586087,96.7376709
