Species,Latitude,Longitude
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S02,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.5726167,-90.33812
S03,-0.572611,-90.338114
S03,-0.572611,-90.338114
S02,-0.572611,-90.338114
S03,-0.572611,-90.338114
S08,-0.572611,-90.338114
S10,-0.572611,-90.338114
S16,-0.572611,-90.338114
S03,-0.567734,-90.33801
S11,-0.567734,-90.33801
S03,-0.567734,-90.33801
S02,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S01,-0.731949946,-90.32863523
S07,-0.73195,-90.32863
S07,-0.73195,-90.32863
S07,-0.73195,-90.32863
S01,-0.73195,-90.32863
S04,-0.73195,-90.32863
S17,-0.68472222,-90.32861111
S14,-0.68472222,-90.32861111
S01,-0.68472222,-90.32861111
S01,-0.731985737,-90.32854898
S17,-0.7279333,-90.32798
S01,-0.7279333,-90.32798
S12,-0.7213667,-90.32652
S01,-0.7213667,-90.32652
S08,-0.642501796,-90.32588303
S07,-0.642501796,-90.32588303
S16,-0.642501796,-90.32588303
S05,-0.642501796,-90.32588303
S06,-0.746475,-90.319706
S17,-0.746475,-90.319706
S01,-0.746475,-90.319706
S03,-0.746475,-90.319706
S07,-0.710277,-90.319088
S01,-0.710277,-90.319088
S01,-0.7326333,-90.3127333
S03,-0.7326333,-90.3127333
S12,-0.741929,-90.308661
S01,-0.741929,-90.308661
S03,-0.7378,-90.301397
S06,-0.7378,-90.301397
S07,-0.637391517,-90.29662759
S16,-0.637391517,-90.29662759
S16,-0.6379167,-90.2961
S08,-0.6379167,-90.2961
S07,-0.6669667,-90.2702
S16,-0.6669667,-90.2702
S15,-0.6669667,-90.2702
S07,-0.6681167,-90.26825
S10,-0.6681167,-90.26825
S15,-0.6681167,-90.26825
S09,-0.6639,-90.26247
S11,-0.6639,-90.26247
S10,-0.6639,-90.26247
S12,-0.65875,-90.2587667
S07,-0.65875,-90.2587667
S12,-0.65735,-90.2583
S04,-0.65735,-90.2583
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S13,-0.656009316,-90.25757303
S12,-0.6560167,-90.2575667
S04,-0.6560167,-90.2575667
S04,-0.660190461,-90.25714363
S03,-0.660190461,-90.25714363
S09,-0.660949862,-90.25514798
S03,-0.660949862,-90.25514798
S02,-0.6602167,-90.25455
S12,-0.6531,-90.25455
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
S12,-0.653096437,-90.25454197
