Species,Latitude,Longitude,Locality
Naesiotus wolfi 2,-0.691813957,-90.44613065,SC 14 10
Naesiotus akamatus,-0.690075466,-90.44578481,SC15-c-01-2-1
Naesiotus hirsutus,-0.690075466,-90.44578481,SC15-c-01-3-1
Naesiotus wolfi,-0.690075466,-90.44578481,SC15-c-01-1-1
Naesiotus hirsutus,-0.6897,-90.222073,SC15 Garr Parking lot
Naesiotus hirsutus,-0.689449,-90.221999,SC 15 Garr parking lot
Naesiotus wolfi 2,-0.688714497,-90.44566856,SC17-02
Naesiotus hirsutus,-0.68611111,-90.22277778,SC00-1
Naesiotus hirsutus,-0.686018039,-90.22325099,SC T01
Naesiotus hirsutus,-0.685988031,-90.22299098,SC 03 45
Naesiotus reibischii,-0.68472222,-90.32861111,SC 01 01
Naesiotus wolfi 1,-0.68472222,-90.32861111,SC 01 01
Naesiotus hirsutus,-0.684007807,-90.22316901,SC 03 46
Naesiotus hirsutus,-0.683099627,-90.22331502,SC T02
Naesiotus akamatus,-0.681935465,-90.37193103,SC02-02 1
Naesiotus cf. ochsneri,-0.6819333,-90.37193,SC 02 02
Naesiotus n.sp.SC-2,-0.6819333,-90.37193,SC 02 02
Naesiotus n.sp.SC-2,-0.6812167,-90.22418,SC 02 T01 T04
Naesiotus hirsutus,-0.678455466,-90.22475403,SC 03 49
Naesiotus reibischii,-0.678201998,-90.23153398,SC T06
Naesiotus wolfi 4,-0.678201998,-90.23153398,SC T06
Naesiotus hirsutus,-0.677998066,-90.22553103,SC T04
Naesiotus akamatus,-0.676716138,-90.23428601,SC T07
Naesiotus wolfi 4,-0.6766167,-90.23422,SC 00 8
Naesiotus akamatus,-0.6763167,-90.23457,SC01-04-2
Naesiotus n.sp.SC-1,-0.6763167,-90.23457,SC 01 04
Naesiotus wolfi,-0.6763167,-90.23457,SC 01-04-1-01
Naesiotus wolfi 4,-0.6763167,-90.23457,SC 01 04
Naesiotus kublerensis,-0.6755667,-90.23695,SC02 T08
Naesiotus n.sp. Yannickus,-0.6755667,-90.23695,SC02 T08
Naesiotus n.sp.SC-2,-0.6755667,-90.23695,SC02 T08 1
Naesiotus wolfi 4,-0.6755667,-90.23695,SC02 T08
Naesiotus n.sp.SC-2,-0.675535882,-90.23698398,SC-T08
Naesiotus wolfi 4,-0.675535882,-90.23698398,SC-T08
Naesiotus n.sp.SC-2,-0.675083,-90.262449,SC 14 perimetral S. from Garr.
Naesiotus ochsneri,-0.675083,-90.262449,SC 14 perimetral S. from Garr.
Naesiotus wolfi 4,-0.675083,-90.262449,SC 14 perimetral S. from Garr.
Naesiotus n.sp.SC-3,-0.675,-90.2375,SC 01 x 05
Naesiotus wolfi 4,-0.675,-90.2375,SC 01 x 05
Naesiotus akamatus,-0.67333333,-90.24277778,SC 01 07
Naesiotus hirsutus,-0.6732333,-90.2427,SC 01 07
Naesiotus wolfi 4,-0.6732333,-90.2427,SC01-07
Naesiotus akamatus,-0.67320236,-90.23878098,SC-T09
Naesiotus n.sp.SC-2,-0.67320236,-90.23878098,SC-T09 reibischii
Naesiotus hirsutus,-0.673148632,-90.241935,SC-T10
Naesiotus wolfi,-0.673148632,-90.241935,sc T10 GARR
Naesiotus wolfi 4,-0.673148632,-90.241935,SC-T10
Naesiotus wolfi 2,-0.672416138,-90.43839407,SC17-01
